id,title_s,title_l,date,status,PI,co_PIs,institution,desc,pic,pic_cred,theme,systems,link,latitude,longitude,geometry,
19,Feeding Ecology and Food Web Linkages of Yearling Chinook Salmon,Feeding Ecology and Food Web Linkages of Yearling Chinook Salmon (Oncorhynchus tshawytscha) Migrating Through the Lower Columbia River and Estuary,2019,completed,"Munguia, Angelica ",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/sf268b86r?locale=en,46.13153,-123.32988,TRUE,
20,Microplastics in Aquatic Organisms,Microplastics in Aquatic Organisms: Improving Understanding and Identifying Research Directions for the Next Decade,2020,completed,Elise F. Granek,"Susanne Brander, Holland E.B.",PSU,,,,"environment, health",,https://pdxscholar.library.pdx.edu/esm_fac/293/,0,0,FALSE,
21,"Sea Level, Tidal, and River Flow Trends in the Lower Columbia River Estuary, 1853-Present","Sea Level, Tidal, and River Flow Trends in the Lower Columbia River Estuary, 1853-Present",2020,completed,Stefan Talke,"Andrew Mahedy, David A. Jay, Patrick Lau, Conrad Hilley, Amanda Hudson",PSU,,,,environment,,https://pdxscholar.library.pdx.edu/cengin_fac/537/,46.2292,-123.6003,TRUE,
22,"Geochemical Response to Thermal Energy Storage in the Columbia River Basalt Aquifer System Beneath the Portland Basin, Oregon","Geochemical Response to Thermal Energy Storage in the Columbia River Basalt Aquifer System Beneath the Portland Basin, Oregon",2020,completed,Ellen Elizabeth Svadlenak,,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/open_access_etds/5362/,45.5281,-122.6321,TRUE,
23,"Mixing of the Willamette and Columbia Rivers across Sauvie Island, Oregon based on stable isotopes (_18O and _D) of surface water","Mixing of the Willamette and Columbia Rivers across Sauvie Island, Oregon based on stable isotopes (_18O and _D) of surface water",2019,completed,"Saslaw, Mae",,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/15/,45.6909,-122.8108,TRUE,
24,Literature Review on the Effects of Water Fluoridation on the Human Health,Literature Review on the Effects of Water Fluoridation on the Human Health,2019,completed,Diana Abdeljawad,,PSU,,,,health,,https://pdxscholar.library.pdx.edu/honorstheses/708/,0,0,FALSE,
25,Watershed Assessment of Tryon Creek of Oregon,Watershed Assessment of Tryon Creek of Oregon,2019,completed,Danielle Goodrich,,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/mem_gradprojects/57/,45.46029,-122.6716,TRUE,
26,Monitoring Lesser Known Harmful Algal Blooms on the Oregon Coast,Monitoring Lesser Known Harmful Algal Blooms on the Oregon Coast,2019,completed,Tyler Dodrill,"Tawnya Peterson, Matthew Hunter, Micah Rodgers",PSU,,,,"health, economy",,https://pdxscholar.library.pdx.edu/publichealthpdx/2019/Posters/27/,43.681,-124.75,TRUE,
27,"Spatial Characteristics And Frequency of Citizen-Observed Pluvial Flooding Events in Relation to Storm Size in Portland, Oregon","Spatial Characteristics And Frequency of Citizen-Observed Pluvial Flooding Events in Relation to Storm Size in Portland, Oregon",2019,completed,Katelyn Michelson,Heejun Chang,PSU,,,,"health, safety, environment",,https://pdxscholar.library.pdx.edu/geog_fac/152/,45.5173,-122.6744,TRUE,
28,"Dynamics of Wet-season Turbidity in Relation to Precipitation, Discharge, and Land Cover","Dynamics of Wet-season Turbidity in Relation to Precipitation, Discharge, and Land Cover in Three Urbanizing Watersheds, Oregon",2019,completed,"Junjie Chen, Heejun Chang",,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/geog_fac/139/,45.5288,-122.6618,TRUE,
29,Designing hydro-logical community resilience,Designing hydro-logical community resilience,2019,completed,Natalia S. Ortiz Luna,,PSU,,,,"community, environment",,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/3/,45.5173,-122.6744,TRUE,
30,Who does it best? Engineers vs. beavers in a stormwater treatment facility,Who does it best? Engineers vs. beavers in a stormwater treatment facility,2019,completed,Katie A. Holzer,"Karen Bromley, Torrey Lindbo",PSU,,,,health,,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/7/,45.5348,-122.4405,TRUE,
31,Historical Changes in Lower Columbia River and Estuary Floods,Data From: Historical Changes in Lower Columbia River and Estuary Floods: A Numerical Study,2019,completed,Lumas Helaire,"David A. Jay, Stefen A. Talke, Andrew Mahedy",PSU,,,,environment,,https://pdxscholar.library.pdx.edu/cengin_data/1/,46.24455,-123.57975,TRUE,
32,Analysis of Toxic Pollutant Sources and Characteristics Contributing to Water Quality Impairments in the Willamette River Basin,Analysis of Toxic Pollutant Sources and Characteristics Contributing to Water Quality Impairments in the Willamette River Basin,2019,completed,Melinda Borgens,,PSU,,,,"health, environment",,https://pdxscholar.library.pdx.edu/mem_gradprojects/55/,44.724,-122.952,TRUE,
33,Nutrients Mediate the Effects of Temperature on Methylmercury Concentrations in Freshwater Zooplankton,Nutrients Mediate the Effects of Temperature on Methylmercury Concentrations in Freshwater Zooplankton,2019,completed,Meredith P. Jordan,"A. Robin Stewart, Collin A. Eagles-Smith, Angela L. Strecker",PSU,,,,environment,,https://pdxscholar.library.pdx.edu/esm_fac/267/,0,0,FALSE,
34,Water Quality Analysis of Ecoroof Runoff in Portland,Water Quality Analysis of Ecoroof Runoff in Portland,2019,completed,Pranoti P. Deshmukh,,PSU,,,,"health, community",,https://pdxscholar.library.pdx.edu/cengin_gradprojects/48/,45.5269,-122.6668,TRUE,
35,Stormwater Treatment Effectiveness of Established Bioretention Facilities,"Stormwater Treatment Effectiveness of Established Bioretention Facilities in Portland, Oregon",2019,completed,Emma Rose Kohlsmith,,PSU,,,,"health, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/5176/,45.5173,-122.6744,TRUE,
36,Nile Red Microplastic Validation,Nile Red Microplastic Validation: Enhancing the Study of Microplastics in Oregon's River Water,2019,completed,Amy Valine,,PSU,,,,"health, environment",,https://pdxscholar.library.pdx.edu/honorstheses/776/,0,0,FALSE,
37,"Dam, it's hot in here! Human- vs. beaver-constructed dams and stream temperature","Dam, it's hot in here! Human- vs. beaver-constructed dams and stream temperature",2019,completed,Noah Jenkins,,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/6/,45.49447,-122.44135,TRUE,
38,On the Drought Recovery and Resiliency: How Terrestrial and Riverine Ecosystems Recover from Agricultural and Hydrological Droughts,On the Drought Recovery and Resiliency: How Terrestrial and Riverine Ecosystems Recover from Agricultural and Hydrological Droughts,2019,completed,Behzad Ahmadi,,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/open_access_etds/4834/,0,0,FALSE,
39,"Detecting Geomorphic Change and Stream Channel Evolution on the Sandy River, Oregon","Detecting Geomorphic Change and Stream Channel Evolution on the Sandy River, Oregon, Using Lidar Following Dam Removal in 2007",2019,completed,Lowell Henry Anthony,,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/open_access_etds/4844/,45.39658,-122.12592,TRUE,
40,Hydrological Drought Persistence and Recovery over the CONUS,Hydrological Drought Persistence and Recovery over the CONUS: A Multi-stage Framework Considering Water Quantity and Quality,2019,completed,Behzad Ahmadi,"Ali Ahmadalipour, Hamid Moradkhani",PSU,,,,"health, environment",,https://pdxscholar.library.pdx.edu/cengin_fac/516/,0,0,FALSE,
41,"Dynamics of Wet-Season Turbidity in Relations to Precipitation, Discharge, and Land Cover","Dynamics of Wet-Season Turbidity in Relations to Precipitation, Discharge, and Land Cover in Three Urbanizing Watersheds, Oregon",2019,completed,Junjie Chen,,PSU,,,,"health, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/5118/,45.5173,-122.6744,TRUE,
42,"Stratigraphic Evidence of Cascadia Earthquake Induced Relative Sea Level Change at Netarts Bay, Oregon","Stratigraphic Evidence of Cascadia Earthquake Induced Relative Sea Level Change at Netarts Bay, Oregon",2019,completed,Jazzy M. Graham-Davis,,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/honorstheses/757/,45.39488,-123.94174,TRUE,
43,Process-Based Modeling of the Dairy- McKay Watershed to Inform Monitoring for Agricultural Best Management Practices,Process-Based Modeling of the Dairy- McKay Watershed to Inform Monitoring for Agricultural Best Management Practices,2019,completed,Brittany Saeman,,PSU,,,,"economy, law",,https://pdxscholar.library.pdx.edu/mem_gradprojects/54/,45.5404,"-123.0440,",TRUE,
44,Historical Changes in Lower Columbia River and Estuary Floods: A Numerical Study,Historical Changes in Lower Columbia River and Estuary Floods: A Numerical Study,2019,completed,Lumas Helaire,"Stefan Talke, David A. Jay, Andrew Mahedy",PSU,,,,environment,,https://pdxscholar.library.pdx.edu/cengin_fac/522/,46.2391,-123.5792,TRUE,
45,The Columbia Slough Sediment Program: Reducing contamination and long-term risk in PortlandÍs hidden gem,The Columbia Slough Sediment Program,2019,completed,Kevin Huniu,,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/uerc/2019/posters/6/,45.58385,-122.6517,TRUE,
46,"Flood Dynamics in the Portland Metropolitan Area, Past, Present, and Future","Flood Dynamics in the Portland Metropolitan Area, Past, Present, and Future",2019,completed,Lumas Terence Helaire,,PSU,,,,"law, community, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/5354/,45.5173,-122.6744,TRUE,
47,Urban impacts on the biological health of Portland streams,Urban impacts on the biological health of Portland streams,2019,completed,Chris Prescott,,PSU,,,,"health, environment",,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/14/,45.5173,-122.6744,TRUE,portland
48,A Case Study of OregonWaterStories.com,"A Case Study of OregonWaterStories.com: Exploring Agency with Water Justice, Activist Applied Linguistics, and a Community Partner",2019,completed,Melissa Haeffner,Janet Cowal,PSU,,,,"community, environment",,https://pdxscholar.library.pdx.edu/esm_fac/266/,0,0,FALSE,
49,Hydrologic Trends and Spatial Relationships of Stream Temperature and Discharge in Urbanizing Watersheds,Hydrologic Trends and Spatial Relationships of Stream Temperature and Discharge in Urbanizing Watersheds in the Portland Metropolitan Area of the Pacific Northwest,2019,completed,Emma Lee Brenneman,,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/open_access_etds/5128/,45.5173,-122.6744,TRUE,
50,Spatial Analysis of Landscape and Sociodemographic Factors Associated With Green Stormwater Infrastructure Distribution,"Spatial Analysis of Landscape and Sociodemographic Factors Associated With Green Stormwater Infrastructure Distribution in Baltimore, Maryland and Portland, Oregon",2019,completed,Ashley Baker,"Emma Brenneman, Heejun Chang, Lauren McPhillips, Marissa Matsler",PSU,,,,"community, law, environment, tech",,https://pdxscholar.library.pdx.edu/geog_fac/127/,45.5173,-122.6744,TRUE,
51,Interaction of climate change with restoration action maturation in an urban environment: Impacts to salmon habitat,Interaction of climate change with restoration action maturation in an urban environment: Impacts to salmon habitat,2019,completed,Laura E. McMullen ,"Jon Walker, Chip McConnaha",PSU,,,,environment,,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/2/,45.5173,-122.6744,TRUE,
52,Evaluating the Impact and Distribution of Stormwater Green Infrastructure on Watershed Outflow,Evaluating the Impact and Distribution of Stormwater Green Infrastructure on Watershed Outflow,2019,completed,Benjamin Fahy,,PSU,,,,"tech, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/4732/,45.4894,-122.4452,TRUE,
53,"The Fate of Atmospherically Deposited Mercury in Mountain Lake Food Webs, and Implications for Fisheries Management","The Fate of Atmospherically Deposited Mercury in Mountain Lake Food Webs, and Implications for Fisheries Management",2019,completed,Ariana Martos Chiapella,,PSU,,,,"environment, health",,https://pdxscholar.library.pdx.edu/open_access_etds/5091/,0,0,FALSE,
54,A Network Approach to Complex Problems: Understanding Collaborative Governance in Watershed Management,A Network Approach to Complex Problems: Understanding Collaborative Governance in Watershed Management,2019,completed,Allison Daniel,,PSU,,,,"law, community",,https://pdxscholar.library.pdx.edu/hgjpa/vol3/iss2/7/,0,0,FALSE,
55,The Effect of Land Use on Greenhouse Gas Emissions Along Salinity Gradients in Pacific Northwest Coastal Wetlands,The Effect of Land Use on Greenhouse Gas Emissions Along Salinity Gradients in Pacific Northwest Coastal Wetlands,2019,completed,Matthew Schultz,,UO,,,,environment,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24948,43.424,-124.2211,TRUE,
56,"Addressing the Dam Problem: Balancing Historic Preservation, Environmentalism, and Community Place Attachment","Addressing the Dam Problem: Balancing Historic Preservation, Environmentalism, and Community Place Attachment",2019,completed,"Wunderler-Selby, Althea",,UO,,,,community,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24949,0,0,FALSE,
57,The Dynamics and Exchange Flow Variability of the Coos Estuary,The Dynamics and Exchange Flow Variability of the Coos Estuary,2019,completed,"Conroy, Ted",,UO,,,,environment,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24217,43.424,-124.2211,TRUE,
58,"Re-examining Shoreline Elevations at Ancient Lake Chewaucan in Central Oregon, USA","Re-examining Shoreline Elevations at Ancient Lake Chewaucan in Central Oregon, USA",2019,completed,"Kendrick, Brianna",,UO,,,,environment,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24747,42.711,-120.369,TRUE,
59,Estimating Future Flood Risk in the Columbia River Basin Under Climate Change Using an Ensemble of Hydrologic Simulations,Estimating Future Flood Risk in the Columbia River Basin Under Climate Change Using an Ensemble of Hydrologic Simulations,2019,completed,"Queen, Laura E.",,UO,,,,environment,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/25053,0,0,FALSE,
60,Monitoring Aquatic Habitat Restoration using High-Resolution Multispectral Remote Sensing,Monitoring Aquatic Habitat Restoration using High-Resolution Multispectral Remote Sensing,2019,completed,"Baldwin, Daniel",,UO,,,,"economy, tech",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24951,44.771,-118.405,TRUE,
61,"Lateral Channel Confinement, Tributaries, and Their Impact on Channel Morphology","Lateral Channel Confinement, Tributaries, and Their Impact on Channel Morphology",2019,completed,"Zettler-Mann, Aaron",,UO,,,,"environment, tech",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24892,42.4516,-124.0161,TRUE,
62,"Sea Level, Stormwater, and Land Use: Inundation in City Planning for Coos Bay, Oregon","Sea Level, Stormwater, and Land Use: Inundation in City Planning for Coos Bay, Oregon",2019,completed,"Stillman, C",,UO,,,,"environment, community, economy",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24644,43.424,-124.2211,TRUE,
63,"Photography and field data used for hydrogeomorphic analysis of the Rogue River in southwest Oregon, USA","Photography and field data used for hydrogeomorphic analysis of the Rogue River in southwest Oregon, USA",2019,completed,"Zettler-Mann, Aaron",,UO,,,,"envrionment, tech",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24742,42.55758,-124.10101,TRUE,
64,Reproducing the River: Historic Context and Resource Survey of OregonÕs State Fish Hatchery System,Reproducing the River: Historic Context and Resource Survey of OregonÕs State Fish Hatchery System,2018,completed,"Bohner, Rodney",,UO,,,,"law, envrionment",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23908,0,0,FALSE,
65,Using Visual Preference Surveys to Inform Planting Design in Stormwater Planters,Using Visual Preference Surveys to Inform Planting Design in Stormwater Planters,2018,completed,"Murphy, Brittany",,UO,,,,"tech, health",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23671,44.0521,-123.0868,TRUE,
66,Mercury Concentration and Speciation in Sediments Throughout the Watershed Affected by Black Butte Mine in Oregon,Mercury Concentration and Speciation in Sediments Throughout the Watershed Affected by Black Butte Mine in Oregon,2018,completed,"Cleveland, Rachael",,UO,,,,"health, environment",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23531,43.574,-123.0637,TRUE,
67,The Hammer and the Hand: Pluralistic Groundwater Governance and Conflict Transformation in OregonÍs Malheur Lake Basin,The Hammer and the Hand: Pluralistic Groundwater Governance and Conflict Transformation in OregonÍs Malheur Lake Basin,2018,completed,"Bonini, Alyssa",,UO,,,,law,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23780,43.3371,-118.7639,TRUE,
68,Land Use Effects on Carbon Cycling in Oregon Coastal Wetlands,Land Use Effects on Carbon Cycling in Oregon Coastal Wetlands,2018,completed,"Blount, Keyyana",,UO,,,,"law, envrionment",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23152,43.3665,-124.2179,TRUE,
69,Anadromous Salmonid Restoration in the Lower Crooked River : Can Collaboration and Legislation Coexist?,Anadromous Salmonid Restoration in the Lower Crooked River : Can Collaboration and Legislation Coexist?,2018,completed,"McMurtrey, Owen S.",,OSU,,,,"law, envrionment",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/4t64gt54n?locale=en,44.5737,-121.272,TRUE,
70,"Characterization of Thermal Regimes of Side Channels, Alcoves, and Ponds on the Willamette River, OR","Characterization of Thermal Regimes of Side Channels, Alcoves, and Ponds on the Willamette River, OR",2018,completed,"Gombert, Carolyn E.",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/1831cq696?locale=en,44.7151,-123.1513,TRUE,
71,Finding Submerged Sites : An Exploration of Shoreline and Environmental Change in OregonÕs Yaquina River Basin using GIS Predictive Modeling Public Deposited,Finding Submerged Sites : An Exploration of Shoreline and Environmental Change in OregonÕs Yaquina River Basin using GIS Predictive Modeling Public Deposited,2018,completed,"Nuss, Kathryn F. ",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/5712mc48k?locale=en,44.6123,-124.0179,TRUE,
72,"Spatiotemporal distribution of the anti-diabetic drug, metformin, in the lower Columbia River and its effect on phytoplankton growth","Spatiotemporal distribution of the anti-diabetic drug, metformin, in the lower Columbia River and its effect on phytoplankton growth",2018,completed,"Cummings, Brittany M.",,OSU,,,,"health, environment",,https://ir.library.oregonstate.edu/concern/defaults/m900p106j?locale=en,46.1543,-123.0548,TRUE,
73,"The Relationship between Hydroregime and Coho Salmon (Oncorhynchus kisutch) Spawning in Three Streams of the Smith River Watershed, Oregon","The Relationship between Hydroregime and Coho Salmon (Oncorhynchus kisutch) Spawning in Three Streams of the Smith River Watershed, Oregon",2018,completed,"Baxter, Mackenzie R. ",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/rf55zf18t?locale=en,41.9235,-124.1415,TRUE,
74,"A Novel Approach to Process-based River Restoration in Oregon : PractitionersÍ Perspectives, and Effects on In-stream Wood","A Novel Approach to Process-based River Restoration in Oregon : PractitionersÍ Perspectives, and Effects on In-stream Wood",2018,completed,"Bianco, Stephanie R.",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/n009w7099?locale=en,44.2388,-122.0593,TRUE,
75,Transport and Mixing of Buoyant Water from Small Mountainous Rivers : An Investigation of Estuarine Residence Timescales and Coastal Current Propagation,Transport and Mixing of Buoyant Water from Small Mountainous Rivers : An Investigation of Estuarine Residence Timescales and Coastal Current Propagation,2018,completed,"Lemagie, Emily P.",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/ws859m64t?locale=en,0,0,FALSE,
76,"Laws, regulations, and management plans to improve streamflow and stream temperature : a case study in the North Fork Burnt River Watershed","Laws, regulations, and management plans to improve streamflow and stream temperature : a case study in the North Fork Burnt River Watershed",2018,completed,"Morgan-Hayes, Anna S. ",,OSU,,,,"law, health",,https://ir.library.oregonstate.edu/concern/graduate_projects/rj430962j?locale=en,44.5021,-118.1524,TRUE,
77,Addressing Free Ridership and the Provision of Hidden Public Goods : Using an Experimental Randomized Control Trial to Test the Nation's Willingness to Pay for the Columbia River Levee System in the Portland Metro Area During an Era of Localism,Addressing Free Ridership and the Provision of Hidden Public Goods : Using an Experimental Randomized Control Trial to Test the Nation's Willingness to Pay for the Columbia River Levee System in the Portland Metro Area During an Era of Localism,2018,completed,"Crawford, Tessa E. ",,OSU,,,,law,,https://ir.library.oregonstate.edu/concern/graduate_projects/xp68kn34q?locale=en,45.63152,-122.71713,TRUE,
78,Transdisciplinary Research in Water Sustainability: WhatÕs in it for an Engaged Researcher-Stakeholder Community?,Transdisciplinary Research in Water Sustainability: WhatÕs in it for an Engaged Researcher-Stakeholder Community?,2018,completed,"Chan, Samuel","Ferguson, Laura, Santelmann, Mary V., Tilt, Bryan",OSU,,,,envrionment,,https://ir.library.oregonstate.edu/concern/articles/1n79h950z?locale=en,44.7475,-123.1577,TRUE,
79,The Influence of Lithology on the Alluvial Character of Oregon Coast Range Streams,The Influence of Lithology on the Alluvial Character of Oregon Coast Range Streams,2018,completed,"Fratkin, Michael Mulugetta",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/pv63g5350?locale=en,43.722,-123.316,TRUE,
80,ÒWe All Live DownriverÓ: Environmental Justice and Community Resistance to the Pacific Connector Gas Pipeline and Jordan Cove Export Terminal in Southern Oregon,ÒWe All Live DownriverÓ: Environmental Justice and Community Resistance to the Pacific Connector Gas Pipeline and Jordan Cove Export Terminal in Southern Oregon,2018,completed,"Halleran, Patricia C.",,OSU,,,,"law,  community, health",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/jm214v21r?locale=en,42.0127,-121.4086,TRUE,
81,Ecohydrologic Connections in Semiarid Rangeland Ecosystems in Oregon,Ecohydrologic Connections in Semiarid Rangeland Ecosystems in Oregon,2018,completed,"Durfee, Nicole M.",,OSU,,,,"law, envrionment",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/8w32rb71g?locale=en,45.05,-120.953,TRUE,
